col_a,col_b,phi,chi2,p_value,cramers_v,n
HATE_CAG,Suggeree,-0.05,1.63,0.2019,0.05,781
HATE_CAG,Montree,-0.13,11.96,0.0005,0.12,781
HATE_CAG,Comportementale,-0.06,2.16,0.1420,0.05,781
HATE_CAG,Designee,-0.07,3.06,0.0804,0.06,781
HATE_NAG,Suggeree,0.01,0.02,0.8920,0.00,781
HATE_NAG,Montree,-0.26,50.93,0.0000,0.26,781
HATE_NAG,Comportementale,0.03,0.28,0.5951,0.02,781
HATE_NAG,Designee,-0.03,0.31,0.5772,0.02,781
HATE_OAG,Suggeree,0.03,0.31,0.5755,0.02,781
HATE_OAG,Montree,0.33,82.55,0.0000,0.33,781
HATE_OAG,Comportementale,0.02,0.08,0.7793,0.01,781
HATE_OAG,Designee,0.07,3.26,0.0709,0.06,781
