col_a,col_b,phi,chi2,p_value,cramers_v,n
HATE_CAG,Admiration,,,,,781
HATE_CAG,Autre,-0.02,0.13,0.7183,0.01,781
HATE_CAG,Colere,-0.15,16.80,0.0000,0.15,781
HATE_CAG,Culpabilite,-0.02,0.00,1.0000,0.00,781
HATE_CAG,Degout,-0.09,4.82,0.0281,0.08,781
HATE_CAG,Embarras,-0.02,0.00,1.0000,0.00,781
HATE_CAG,Fierte,-0.02,0.00,1.0000,0.00,781
HATE_CAG,Jalousie,-0.03,0.07,0.7861,0.01,781
HATE_CAG,Joie,-0.01,0.00,0.9668,0.00,781
HATE_CAG,Peur,-0.03,0.00,1.0000,0.00,781
HATE_CAG,Surprise,0.02,0.00,1.0000,0.00,781
HATE_CAG,Tristesse,-0.05,0.94,0.3311,0.03,781
HATE_NAG,Admiration,,,,,781
HATE_NAG,Autre,-0.09,5.32,0.0211,0.08,781
HATE_NAG,Colere,-0.17,22.34,0.0000,0.17,781
HATE_NAG,Culpabilite,0.09,3.37,0.0663,0.07,781
HATE_NAG,Degout,-0.21,33.79,0.0000,0.21,781
HATE_NAG,Embarras,-0.04,0.06,0.8005,0.01,781
HATE_NAG,Fierte,0.09,3.37,0.0663,0.07,781
HATE_NAG,Jalousie,-0.00,0.00,1.0000,0.00,781
HATE_NAG,Joie,-0.03,0.36,0.5471,0.02,781
HATE_NAG,Peur,-0.01,0.00,1.0000,0.00,781
HATE_NAG,Surprise,-0.06,1.24,0.2654,0.04,781
HATE_NAG,Tristesse,0.07,2.60,0.1067,0.06,781
HATE_OAG,Admiration,,,,,781
HATE_OAG,Autre,0.10,6.52,0.0107,0.09,781
HATE_OAG,Colere,0.26,52.12,0.0000,0.26,781
HATE_OAG,Culpabilite,-0.07,1.76,0.1852,0.05,781
HATE_OAG,Degout,0.26,49.78,0.0000,0.25,781
HATE_OAG,Embarras,0.05,0.33,0.5631,0.02,781
HATE_OAG,Fierte,-0.07,1.76,0.1852,0.05,781
HATE_OAG,Jalousie,0.02,0.03,0.8565,0.01,781
HATE_OAG,Joie,0.03,0.62,0.4327,0.03,781
HATE_OAG,Peur,0.03,0.10,0.7526,0.01,781
HATE_OAG,Surprise,0.04,0.48,0.4898,0.02,781
HATE_OAG,Tristesse,-0.03,0.39,0.5318,0.02,781
